NO,W01:[CH#1]chamber heater press,W03:[CH#1]chamber heater press,W05:[CH#1]chamber heater press,W07:[CH#1]chamber heater press,W09:[CH#1]chamber heater press,W11:[CH#1]chamber heater press,W13:[CH#1]chamber heater press,W16:[CH#1]chamber heater press,W18:[CH#1]chamber heater press,W20:[CH#1]chamber heater press,W22:[CH#1]chamber heater press
1,0,0,0,0,0,0,0,0,0,0,0
2,5282,3492,7669,8031,560,4458,9487,4155,2913,6194,26
3,12084,11467,11759,11673,11312,11552,11808,11649,11710,11734,11277
4,11710,11588,11371,11136,11564,11552,11253,12008,11395,11515,11564
5,11078,10859,10634,10545,10928,10814,10523,11147,10791,10746,10939
6,10370,10187,10018,9924,10251,10113,10028,10567,10113,10113,10241
7,9800,9738,9617,9457,9810,9698,9536,9965,9617,9677,9708
8,9447,9339,9222,9164,9378,9261,9164,9607,9300,9261,9339
9,9116,8993,8956,8881,9050,8956,8937,9251,9012,8993,9021
10,8862,8834,8770,8679,8844,8779,8733,8974,8788,8788,8770
11,8733,8651,8570,8570,8660,8606,8561,8825,8669,8624,8624
12,8588,8516,8481,8445,8543,8472,8481,8679,8561,8499,8481
13,8472,8445,8419,8384,8472,8384,8410,8588,8481,8428,8410
14,8436,8384,8357,8349,8410,8305,8340,8507,8410,8375,8340
15,8392,8322,8322,8296,8349,8288,8305,8445,8384,8340,8296
16,8366,8305,8305,8270,8331,8253,8305,8428,8349,8305,8270
17,8357,8296,8288,8270,8305,8253,8296,8410,8340,8305,8262
18,8340,8296,8296,8288,8305,8244,8296,8410,8331,8305,8253
19,8357,8296,8305,8288,8305,8244,8305,8428,8349,8305,8270
20,8375,8305,8322,8296,8340,8270,8340,8445,8375,8314,8270
21,8384,8340,8340,8305,8366,8288,8349,8472,8384,8340,8296
22,8410,8375,8375,8349,8384,8305,8392,8490,8410,8349,8305
23,8436,8384,8410,8384,8410,8322,8410,8516,8436,8384,8340
24,8472,8410,8419,8410,8428,8357,8445,8543,8472,8410,8357
25,8481,8445,8445,8428,8445,8384,8481,8561,8499,8436,8410
26,8534,8481,8481,8472,8481,8410,8516,8615,8525,8481,8454
27,8552,8516,8516,8499,8516,8445,8552,8642,8552,8507,8445
28,8588,8552,8552,8552,8561,8481,8588,8660,8588,8534,8507
29,8624,8606,8606,8597,8615,8534,8624,8706,8624,8588,8534
30,8660,8624,8660,8651,8651,8606,8697,8752,8679,8624,8606
31,8724,8688,8697,8679,8697,8642,8770,8788,8733,8679,8651
32,8770,8742,8770,8770,8770,8697,8788,8881,8770,8742,8733
33,8807,8807,8834,8881,8834,8752,8862,8927,8844,8807,8779
34,8881,8844,8890,8927,8872,8834,8927,9003,8899,8881,8862
35,8974,8937,8956,9012,8956,8881,8993,9050,8974,8927,8927
36,9050,8993,9021,9050,9031,8965,9078,9145,9021,8993,8993
37,9107,9040,9088,9145,9069,9021,9164,9241,9107,9069,9050
38,9184,9145,9184,9212,9145,9069,9222,9309,9174,9145,9145
39,9261,9184,9251,9280,9212,9155,9300,9378,9232,9222,9212
40,9358,9290,9339,9358,9290,9232,9388,9487,9319,9309,9261
41,9408,9378,9417,9437,9378,9309,9477,9556,9408,9378,9339
42,9517,9457,9536,9536,9457,9408,9567,9657,9517,9487,9457
43,9577,9546,9556,9637,9536,9477,9637,9749,9607,9546,9507
44,9698,9617,9657,9698,9637,9546,9718,9820,9657,9637,9617
45,9779,9708,9738,9810,9708,9637,9820,9945,9759,9738,9698
46,9882,9810,9841,9913,9800,9718,9945,10039,9862,9841,9779
47,9965,9924,9945,9976,9913,9810,10018,10113,9965,9903,9893
48,10049,10018,10028,10113,9976,9903,10091,10219,10028,10028,9986
49,10155,10113,10155,10198,10113,10028,10198,10327,10187,10155,10091
50,10262,10219,10241,10262,10198,10113,10273,10457,10251,10230,10198
51,10381,10273,10327,10370,10273,10198,10381,10590,10370,10327,10273
52,10457,10381,10446,10501,10381,10273,10490,10656,10457,10446,10370
53,10623,10501,10545,10590,10501,10414,10601,10814,10590,10545,10501
54,10746,10590,10656,10690,10634,10501,10735,10928,10679,10634,10634
55,10859,10690,10791,10837,10746,10590,10814,11066,10814,10769,10724
56,10985,10814,10905,10905,10859,10724,10939,11194,10905,10893,10837
57,11089,10905,10997,11066,10974,10814,11136,11324,11020,10997,10939
58,11206,11043,11136,11171,11078,10939,11241,11407,11159,11124,11089
59,11371,11147,11277,11288,11229,11078,11324,11564,11288,11253,11171
60,11467,11241,11395,11407,11360,11182,11515,11722,11407,11395,11324
61,11600,11371,11527,11539,11515,11288,11624,11808,11515,11515,11467
62,11722,11515,11649,11661,11588,11419,11722,11958,11637,11637,11564
63,11808,11588,11759,11784,11734,11515,11858,12058,11759,11759,11710
64,11958,11710,11883,11908,11858,11637,11958,12109,11883,11883,11858
65,12058,11796,12008,12008,11958,11784,12058,12211,11995,11958,11958
66,12109,11883,12046,12058,12033,11933,12109,12262,12084,12033,12046
67,12198,11958,12109,12109,12109,12008,12185,12275,12160,12084,12109
68,12211,12071,12173,12185,12147,12058,12211,12314,12185,12185,12147
69,12262,12096,12224,12224,12211,12135,12262,12353,12237,12237,12185
70,12275,12147,12262,12237,12262,12185,12275,12353,12275,12262,12262
71,12314,12185,12262,12262,12262,12224,12314,12365,12275,12275,12262
72,12314,12211,12275,12275,12275,12262,12314,12378,12275,12275,12275
73,12353,12237,12314,12301,12262,12288,12353,12365,12314,12301,12275
74,12353,12262,12327,12314,12275,12275,12314,12365,12314,12301,12275
75,12365,12262,12340,12314,12275,12314,12353,12365,12314,12314,12314
76,12365,12275,12327,12314,12275,12314,12365,12391,12314,12314,12314
77,12365,12262,12353,12314,12275,12353,12365,12365,12314,12275,12353
78,12365,12275,12314,12314,12275,12314,12353,12353,12314,12314,12314
79,12340,12314,12353,12314,12301,12340,12365,12365,12314,12340,12327
80,12365,12288,12327,12314,12275,12314,12365,12340,12314,12314,12275
81,12314,12275,12340,12314,12275,12353,12340,12353,12353,12314,12314
82,12314,12314,12314,12314,12275,12353,12353,12353,12340,12301,12314
83,12353,12314,12353,12353,12275,12365,12365,12353,12327,12314,12327
84,12340,12314,12314,12327,12275,12353,12353,12340,12353,12301,12275
85,12314,12314,12314,12314,12275,12365,12314,12314,12314,12275,12314
86,12314,12314,12314,12275,12275,12353,12314,12314,12314,12314,12314
87,12314,12314,12301,12314,12275,12365,12314,12353,12365,12314,12301
88,12314,12314,12275,12314,12275,12365,12314,12314,12353,12314,12288
89,12275,12314,12288,12275,12275,12391,12314,12327,12314,12301,12314
90,12314,12353,12301,12327,12275,12365,12275,12314,12314,12314,12275
91,12275,12353,12288,12301,12275,12365,12275,12288,12314,12314,12314
92,12275,12314,12301,12275,12275,12365,12314,12301,12353,12288,12275
93,12301,12353,12275,12314,12262,12353,12275,12314,12340,12275,12301
94,12314,12314,12262,12314,12262,12353,12275,12314,12353,12314,12275
95,12340,12340,12262,12301,12275,12365,12275,12340,12353,12275,12275
96,12314,12314,12275,12301,12275,12353,12262,12314,12314,12262,12275
97,12314,12314,12275,12275,12262,12365,12275,12314,12353,12262,12275
98,12275,12314,12262,12314,12262,12353,12262,12314,12314,12262,12288
99,12275,12314,12275,12275,12237,12353,12275,12314,12314,12262,12275
100,12314,12314,12262,12275,12275,12340,12275,12314,12314,12262,12275
101,12301,12275,12262,12275,12262,12340,12275,12314,12327,12275,12275
102,12314,12314,12275,12275,12262,12314,12262,12340,12314,12262,12275
103,12275,12314,12275,12275,12275,12314,12275,12314,12314,12275,12275
104,12275,12314,12262,12262,12275,12340,12275,12301,12301,12275,12275
105,12275,12301,12262,12275,12262,12275,12275,12314,12288,12262,12275
106,12288,12314,12262,12275,12275,12288,12275,12275,12314,12262,12275
107,12275,12301,12262,12275,12262,12275,12301,12275,12288,12262,12275
108,12275,12275,12262,12275,12275,12275,12288,12275,12275,12262,12262
109,12262,12314,12262,12275,12275,12275,12288,12275,12314,12262,12262
110,12275,12275,12262,12262,12262,12275,12275,12275,12301,12262,12262
111,12262,12288,12262,12275,12262,12275,12288,12262,12275,12262,12275
112,12262,12301,12262,12262,12262,12275,12275,12275,12275,12262,12262
113,12262,12275,12262,12262,12262,12275,12275,12262,12275,12262,12262
114,12262,12301,12262,12262,12262,12275,12262,12262,12275,12262,12262
115,12237,12275,12262,12262,12275,12314,12275,12262,12275,12288,12262
116,12262,12288,12262,12262,12262,12275,12262,12275,12275,12262,12262
117,12262,12275,12262,12262,12262,12275,12275,12262,12275,12262,12237
118,12262,12275,12262,12262,12262,12314,12262,12262,12275,12262,12237
119,12262,12275,12262,12262,12262,12314,12275,12262,12262,12262,12237
120,12237,12262,12262,12262,12275,12314,12262,12262,12262,12237,12262
121,12224,12275,12237,12262,12262,12314,12262,12262,12275,12262,12237
122,12224,12275,12224,12262,12275,12275,12262,12237,12262,12262,12262
123,12262,12288,12237,12237,12262,12275,12262,12237,12262,12262,12262
124,12211,12275,12237,12224,12275,12301,12262,12275,12262,12262,12211
125,12237,12275,12262,12262,12262,12262,12262,12262,12262,12262,12211
126,12237,11870,11796,11734,12262,11958,11796,12262,12275,12237,11759
127,2516,1863,1818,1747,3335,1944,1788,3409,5383,2690,2336
128,928,655,881,859,1240,935,878,1076,1260,1125,878
129,512,406,444,436,568,458,441,575,660,526,441
130,313,268,283,280,368,291,284,337,371,319,305
131,223,198,218,216,249,223,218,234,251,240,218
132,180,164,169,168,187,172,170,188,198,182,177
133,145,134,138,142,156,140,138,151,157,152,143
134,122,115,121,120,130,122,118,122,130,127,121
135,109,103,105,105,111,106,105,106,115,109,108
136,91,81,84,88,100,86,85,91,101,98,89
137,70,64,68,68,77,70,66,70,81,74,69
138,58,53,54,54,60,56,55,58,63,59,58
139,48,44,45,47,51,46,45,48,52,50,47
140,41,38,39,39,42,40,40,40,44,42,40
141,35,33,34,34,37,34,34,35,38,36,35
142,28,26,26,28,32,27,27,28,33,32,28
143,23,21,21,22,24,22,22,22,26,23,22
144,18,17,17,17,20,16,17,18,20,19,18
145,15,14,14,15,16,14,14,15,16,16,15
146,13,12,12,13,13,12,12,13,14,13,13
147,11,11,11,11,12,11,11,11,12,11,11
148,10,10,10,10,10,10,9,10,11,10,10
149,9,8,8,8,9,8,8,8,10,9,8
150,7,7,6,7,8,7,7,7,8,7,7
151,6,6,5,6,6,6,6,6,6,6,6
152,5,5,5,5,5,5,5,5,6,5,5
153,5,4,4,4,5,4,4,5,5,5,5
154,4,3,3,3,4,3,3,4,4,4,4
155,3,3,2,3,3,3,3,3,3,3,3
156,2,2,2,2,2,2,2,2,3,2,2
157,2,2,1,2,2,2,2,2,2,2,2
158,2,2,1,2,2,2,2,2,2,2,2
159,1,1,1,1,1,1,1,1,1,1,1
160,1,1,1,1,1,1,1,1,1,1,1
161,1,1,1,1,1,1,1,1,1,1,1
162,1,1,1,1,1,1,1,1,1,1,1
163,1,1,1,1,1,1,1,1,1,1,1
164,1,1,1,1,1,1,1,1,1,1,1
165,1,1,1,1,1,1,1,1,1,1,1
166,1,1,1,1,1,1,1,1,1,1,1
167,1,1,0,1,1,1,1,1,1,1,1
168,1,1,0,1,1,1,1,1,1,1,1
169,1,1,0,1,1,1,1,1,1,1,1
170,1,1,0,1,1,1,1,1,1,1,1
171,1,1,0,1,1,1,1,1,1,1,1
172,1,1,0,1,1,1,1,1,1,1,1
173,1,1,0,1,1,1,1,1,1,1,1
174,1,1,0,1,1,1,1,1,1,1,1
175,1,1,0,1,1,1,1,1,1,1,1
176,1,1,0,1,1,1,1,1,1,1,1
177,1,1,0,1,1,1,1,1,1,1,1
178,1,1,0,1,1,1,1,1,1,1,1
179,1,1,0,1,1,1,1,1,1,1,1
180,1,1,0,1,1,1,1,1,1,1,1
181,1,1,0,1,1,1,1,1,1,1,1
182,1,1,0,1,1,1,1,1,1,1,1
183,1,1,0,1,1,1,1,1,1,1,1
184,1,1,0,1,1,1,1,1,1,1,1
185,1,1,0,1,1,1,1,1,1,1,1
186,1,1,0,1,1,1,1,1,1,1,1
187,1,1,0,1,1,1,1,1,1,1,1
188,1,1,0,1,1,1,1,1,1,1,1
189,1,1,0,1,1,1,1,1,1,1,1
190,1,1,0,1,1,1,1,1,1,1,1
191,1,1,0,1,1,1,1,1,1,1,1
192,1,1,0,1,1,1,1,1,1,1,1
193,0,0,0,0,0,0,0,0,1,1,0
194,0,0,0,0,0,0,0,0,0,0,0
195,0,0,0,0,0,0,0,0,0,0,0
196,0,0,0,0,0,0,0,0,0,0,0
197,0,0,0,0,0,0,0,0,0,0,0
198,0,0,0,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0,0
201,0,0,0,0,0,0,0,0,0,0,0
202,0,0,0,0,0,0,0,0,0,0,0
203,0,0,0,0,0,0,0,0,0,0,0
204,0,0,0,0,0,0,0,0,0,0,0
205,0,0,0,0,0,0,0,0,0,0,0
206,0,0,0,0,0,0,0,0,0,0,0
207,0,0,0,0,0,0,0,0,0,0,0
208,0,0,0,0,0,0,0,0,0,0,0
209,0,0,0,0,0,0,0,0,0,0,0
210,0,0,0,0,0,0,0,0,0,0,0
211,0,0,0,0,0,0,0,0,0,0,0
212,0,0,0,0,0,0,0,0,0,0,0
213,0,0,0,0,0,0,0,0,0,0,0
214,0,0,0,0,0,0,0,0,0,0,0
215,0,0,0,0,0,0,0,0,0,0,0
216,0,0,0,0,0,0,0,0,0,0,0
217,0,0,0,0,0,0,0,0,0,0,0
218,0,0,0,0,0,0,0,0,0,0,0
219,0,0,0,0,0,0,0,0,0,0,0
220,0,0,0,0,0,0,0,0,0,0,0
221,0,0,0,0,0,0,0,0,0,0,0
222,0,0,0,0,0,0,0,0,0,0,0
223,0,0,0,0,0,0,0,0,0,0,0
224,0,0,0,0,0,0,0,0,0,0,0
225,0,0,0,0,0,0,0,0,0,0,0
226,1,0,0,0,0,1,0,1,0,1,0
227,1,0,0,1,1,1,1,1,0,1,0
228,1,1,0,1,1,1,1,1,0,1,1
229,1,1,0,1,1,1,1,1,1,1,1
230,1,1,0,1,1,1,1,1,1,1,1
231,1,1,0,1,1,1,1,1,1,1,1
232,1,1,0,1,1,1,1,1,1,1,1
233,1,1,0,1,1,1,1,1,1,1,1
234,1,1,0,1,1,1,1,1,1,1,1
235,1,1,0,1,1,1,1,1,1,1,1
236,1,1,0,1,1,1,1,1,1,1,1
237,1,1,0,1,1,1,1,1,1,1,1
238,1,1,0,1,1,1,1,1,1,1,1
239,1,1,0,1,1,1,1,1,1,1,1
240,1,1,0,1,1,1,1,1,1,1,1
241,1,1,0,1,1,1,1,1,1,1,1
242,1,1,0,1,1,1,1,1,1,1,1
243,1,1,0,1,1,1,1,1,1,1,1
244,1,1,0,1,1,1,1,1,1,1,1
245,1,1,0,1,1,1,1,1,1,1,1
246,1,1,0,1,1,1,1,1,1,1,1
247,1,1,0,1,1,1,1,1,1,1,1
248,1,1,0,1,1,1,1,1,1,1,1
249,1,1,0,1,1,1,1,1,1,1,1
250,1,1,0,1,1,1,1,1,1,1,1
251,1,1,0,1,1,1,1,1,1,1,1
252,1,1,0,1,1,1,1,1,1,1,1
253,1,1,0,1,1,1,1,1,1,1,1
254,1,1,0,1,1,1,1,1,1,1,1
255,1,1,0,1,1,1,1,1,1,1,1
256,1,1,0,1,1,1,1,1,1,1,1
257,1,1,0,1,1,1,1,1,1,1,1
258,1,1,0,1,1,1,1,1,1,1,1
259,1,1,0,1,1,1,1,1,1,1,1
260,1,1,0,1,1,1,1,1,1,1,1
261,1,1,0,1,1,1,1,1,1,1,1
262,1,1,0,1,1,1,1,1,1,1,1
263,1,1,0,1,1,1,1,1,1,1,1
264,1,1,0,1,1,1,1,1,1,1,1
265,1,1,0,1,1,1,1,1,1,1,1
266,1,1,0,1,1,1,1,1,1,1,1
267,1,1,0,1,1,1,1,1,1,1,1
268,1,1,0,1,1,1,1,1,1,1,1
269,1,1,0,1,1,1,1,1,1,1,1
270,1,1,0,1,1,1,1,1,1,1,1
271,1,1,0,1,1,1,1,1,1,1,1
272,1,1,0,1,1,1,1,1,1,1,1
273,1,1,0,1,1,1,1,1,1,1,1
274,1,1,0,1,1,1,1,1,1,1,1
275,1,1,0,1,1,1,1,1,1,1,1
276,1,1,0,1,1,1,1,1,1,1,1
277,0,0,0,0,0,0,0,0,1,0,0
278,0,0,0,0,0,0,0,0,0,0,0
279,0,0,0,0,0,0,0,0,0,0,0
280,0,0,0,0,0,0,0,0,0,0,0
281,0,0,0,0,0,0,0,0,0,0,0
282,0,0,0,0,0,0,0,0,0,0,0
283,0,0,0,0,0,0,0,0,0,0,0
284,0,0,0,0,0,0,0,0,0,0,0
285,0,0,0,0,0,0,0,0,0,0,0
286,0,0,0,0,0,0,0,0,0,0,0
287,0,0,0,0,0,0,0,0,0,0,0
288,0,0,0,0,0,0,0,0,0,0,0
289,0,0,0,0,0,0,0,0,0,0,0
290,0,0,0,0,0,0,0,0,0,0,0
291,0,0,0,0,0,0,0,0,0,0,0
292,0,0,0,0,0,0,0,0,0,0,0
293,0,0,0,0,0,0,0,0,0,0,0
294,0,0,0,0,0,0,0,0,0,0,0
295,0,0,0,0,0,0,0,0,0,0,0
296,0,0,0,0,0,0,0,0,0,0,0
297,0,0,0,0,0,0,0,0,0,0,0
298,0,0,0,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0,0,0,0
300,0,0,0,0,0,0,0,0,0,0,0
301,0,0,0,0,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0,0,0,0,0
303,0,0,0,0,0,0,0,0,0,0,0
304,0,0,0,0,0,0,0,0,0,0,0
305,0,0,0,0,0,0,0,0,0,0,0
306,0,0,0,0,0,0,0,0,0,0,0
307,0,0,0,0,0,0,0,0,0,0,0
308,0,0,0,0,0,0,0,0,0,0,0
309,0,0,0,0,0,0,0,0,0,0,0
310,0,0,0,1,1,0,0,0,0,0,0
311,0,1,0,1,1,1,1,0,0,0,1
312,1,1,0,1,1,1,1,1,1,1,1
313,1,1,0,1,1,1,1,1,1,1,1
314,1,1,0,1,1,1,1,1,1,1,1
315,1,1,0,1,1,1,1,1,1,1,1
316,1,1,0,1,1,1,1,1,1,1,1
317,1,1,0,1,1,1,1,1,1,1,1
318,1,1,0,1,1,1,1,1,1,1,1
319,1,1,0,1,1,1,1,1,1,1,1
320,1,1,0,1,1,1,1,1,1,1,1
321,1,1,0,1,1,1,1,1,1,1,1
322,1,1,1,1,1,1,1,1,1,1,1
323,1,1,1,1,1,1,1,1,1,1,1
324,1,1,1,1,1,1,1,1,1,1,1
325,1,1,1,1,1,1,1,1,1,1,1
326,1,1,1,1,1,1,1,1,1,1,1
327,1,1,1,1,1,1,1,1,1,1,1
328,1,1,1,1,1,1,1,1,1,1,1
329,1,1,1,1,1,1,1,1,1,1,1
330,1,1,1,1,1,1,1,1,1,1,1
331,1,1,1,1,1,1,1,1,1,1,1
332,1,1,1,1,1,1,1,1,1,1,1
333,1,1,1,1,1,1,1,1,1,1,1
334,1,1,1,1,1,1,1,1,1,1,1
335,1,1,1,1,1,1,1,1,1,1,1
336,1,1,1,1,1,1,1,1,1,1,1
337,1,1,1,1,1,1,1,1,1,1,1
338,1,1,1,1,1,1,1,1,1,1,1
339,1,1,1,1,1,1,1,1,1,1,1
340,1,1,1,1,1,1,1,1,1,1,1
341,1,1,1,1,1,1,1,1,1,1,1
342,1,1,1,1,1,1,1,1,1,1,1
343,1,1,1,1,1,1,1,1,1,1,1
344,1,1,1,1,1,1,1,1,1,1,1
345,1,1,1,1,1,1,1,1,1,1,1
346,1,1,1,1,1,1,1,1,1,1,1
347,1,1,1,1,1,1,1,1,1,1,1
348,1,1,1,1,1,1,1,1,1,1,1
349,1,1,1,1,1,1,1,1,1,1,1
350,1,1,1,1,1,1,1,1,1,1,1
351,1,1,1,1,1,1,1,1,1,1,1
352,1,1,1,1,1,1,1,1,1,1,1
353,1,1,1,1,1,1,1,1,1,1,1
354,1,1,1,1,1,1,1,1,1,1,1
355,1,0,1,1,1,1,1,1,1,1,1
356,1,0,1,1,1,1,1,1,1,1,1
357,1,0,1,1,1,1,1,1,1,1,1
358,1,0,1,1,1,1,1,1,1,1,1
359,1,0,0,1,1,1,1,1,1,1,1
360,1,,0,1,1,1,1,1,1,1,1
361,0,,0,0,0,0,0,1,1,0,0
362,0,,0,0,0,0,0,0,0,0,0
363,0,,0,0,0,0,0,0,0,0,0
364,0,,0,0,0,0,0,0,0,0,0
365,0,,0,0,0,0,0,0,0,0,0
366,0,,0,0,0,0,0,0,0,0,0
367,0,,0,0,0,0,0,0,0,0,0
368,0,,0,0,0,0,0,0,0,0,0
369,0,,0,0,0,0,0,0,0,0,0
370,0,,,0,0,0,0,0,0,0,0
371,0,,,0,0,0,0,0,0,0,0
372,,,,,,,,0,,,
